Agricultural raw materials exports (% of merchandise exports),Rural population growth (annual %),Rural population,Surface area (sq. km),Crop production index (2014-2016 = 100),Land area (sq. km),Permanent cropland (% of land area),Land under cereal production (hectares),Arable land (% of land area),Fertilizer consumption (kilograms per hectare of arable land),Cluster,Cereal yield (kg per hectare),Predicted Cereal Yields,Year
0.535396949023717,0.530427996078837,1542842.0,70280.0,98.67,68890.0,0.0435476847147627,290017.0,6.05603135433299,1658.67689357622,1,6985.7,7075.792121707347,39
0.471923135665265,0.734957208184355,1554223.0,70280.0,99.25,68890.0,0.0290317898098418,279318.0,5.67861808680505,1532.23415132924,1,7795.7,6993.382440491969,40
0.419179566459608,0.992979890975544,1569733.0,70280.0,100.11,68890.0,0.0290317898098418,286118.0,7.39149368558572,1158.12450903378,0,7580.9,7461.168353904082,41
0.441093753164781,1.06752150311726,1586580.0,70280.0,94.98,68890.0,0.0290317898098418,299519.0,7.52213673973,1153.70706291007,0,6567.0,7170.784375605981,42
0.468082752384249,0.942611959089625,1601606.0,70280.0,100.09,68890.0,0.0290317898098418,303119.0,7.71127885034112,1187.65882950888,0,7100.7,7605.366432952822,43
0.472837754140112,1.1347048588372,1619883.0,70280.0,113.99,68890.0,0.0290317898098418,310418.0,7.57221657715198,1077.44656378798,0,8077.8,8107.44994130337,44
0.447559278504966,1.48531869396253,1644123.0,70280.0,92.73,68890.0,0.0435476847147627,282115.0,7.09377268108579,1109.73418731711,0,6904.7,7272.868584133139,45
0.462905296557703,2.03341122091489,1677897.0,70280.0,86.85,68890.0,0.0435476847147627,280012.0,6.78008419219045,1066.10002569153,0,7465.2,6967.800814595061,46
0.521290374633234,2.37517216550866,1718227.0,70280.0,84.16,68890.0,0.0435476847147627,279109.0,6.75642328349543,973.623375228274,0,7188.8,6913.1009519024265,47
0.485533557457317,1.52277722103303,1744592.0,70280.0,94.61,68890.0,0.0391929162432864,322307.0,7.04964436057483,857.197570266653,0,7644.9,7000.674874796125,48
0.427581919826868,0.497045373350955,1753285.0,70280.0,83.19,68890.0,0.0435476847147627,300004.0,6.71490782406735,1123.80293564496,0,6887.2,6888.438300736105,49
0.519260833639671,0.0261760026860715,1753744.0,70280.0,85.81,68890.0,0.0290317898098418,274102.0,6.37015532007548,1065.3723452739,0,7456.3,7088.020467085149,50
0.549141743111612,-0.0852825485168318,1752249.0,70280.0,99.14,68890.0,0.0145158949049209,297600.0,6.66482798664538,995.709369691162,0,8441.5,7553.405706580956,51
0.564772480890988,-0.100435696057477,1750490.0,70280.0,85.28,68890.0,0.0145158949049209,315595.0,7.00551604006387,1138.78079608794,0,6741.2,6968.997762763267,52
0.640296709551359,0.0022850483574406,1750530.0,70280.0,96.85,68890.0,0.0145158949049209,307995.0,6.8811148207287,1110.33457092229,0,7802.1,7547.561513181281,53
0.671717842974544,0.204015610184789,1754105.0,70280.0,101.25,68890.0,0.0145158949049209,306894.0,6.7525039918711,1238.34666150737,0,8471.4,7922.829576831857,54
0.564137546877825,0.417687502515423,1761447.0,70280.0,103.53,68890.0,0.0145158949049209,292594.0,6.57570039192916,1292.76079470199,0,9008.2,8289.959213545735,55
0.509299142520548,0.59619350841637,1771980.0,70280.0,95.22,68890.0,0.0145158949049209,281290.0,6.69182755116853,1286.97171366594,0,8222.8,8141.750394729312,56
0.411812222465235,0.523520295467759,1781281.0,70280.0,99.13,68890.0,0.0145158949049209,272627.0,6.69182755116853,1402.91427331887,0,8783.6,8694.555449019583,57
0.359695627783153,0.635216255554204,1792632.0,70280.0,73.32,68890.0,0.0145158949049209,260970.0,6.54666860211932,1572.9833481153,0,6839.5,7747.534142600678,58
0.310484339606978,0.72755808584729,1805722.0,70280.0,90.49,68890.0,0.0145158949049209,266660.0,6.43054144287995,1494.3755530474,0,8505.2,8479.669303666218,59
0.283436906324486,0.354961102302517,1812143.0,70280.0,79.1,68890.0,0.0145158949049209,265640.0,6.44505733778487,1563.34990990991,0,7124.8,8027.514614704474,60
1.5439553201989964,0.134832187466441,1814588.0,70280.0,96.24499999999998,68890.0,0.034281705133788185,332946.86666666664,5.991326752794308,1344.5131158676827,0,5875.043333333334,7079.00410156159,61
